date_label,date,title,loc,type,order,day,month,year,key,lon,lat
28 May,2022-05-28,UEFA Champions League Finale,"Saint Petersburg, Russia",Culture/society,82,28,May,2022,key dates,30.380619357025516,59.917857350000006
29 May,2022-05-29,Presidential elections,Colombia,Politics,83,29,May,2022,key dates,-72.9088133,4.099917
30 May,2022-05-30,47 years since the creation of the European Space Agency,"Paris, France",European Union,84,30,May,2022,key dates,2.3200410217200766,48.8588897
31 May,2022-05-31,60 years since the execution of the Nazi Colonel Adolf Eichmann,"Tel-Aviv, Israel",History,85,31,May,2022,key dates,34.7818064,32.0852997
04 June,2022-06-04,Tian'an Men anniversary,worldwide,History,88,4,June,2022,key dates,0,0
06-09 June,2022-06-06,European Parliament Plenary Session,"Strasbourg, France",European Union,89,6,June,2022,key dates,7.7507127,48.584614
06-15 June,2022-06-06,World Telecommunication Development Conference,"Addis Ababa, Ethiopia",Global,91,6,June,2022,key dates,38.7612525,9.0107934
09 June,2022-06-09,"350th anniversary of the birth of the Russian Emperor Peter I, The Great",Russia,History,90,9,June,2022,key dates,97.7453061,64.6863136
10-12th June,2022-06-10,Shangri-La Dialogue,"Singapore, Singapore",Politics,92,10,June,2022,key dates,103.8194992,1.357107
15-19 June,2022-06-15,Saint Petersburg International Economic Forum,"Saint Petersburg, Russia",Politics,93,15,June,2022,key dates,30.380619357025516,59.917857350000006
20 June,2022-06-20,World Refugee Day,worldwide,Global,94,20,June,2022,key dates,0,0
22-23 June,2022-06-22,European Parliament Plenary Session,"Brussels, Belgium",European Union,95,22,June,2022,key dates,4.351697,50.8465573
25 June,2022-06-25,75 years since the first publication of Anne Frank's diary,The Netherlands,History,96,25,June,2022,key dates,5.541246849406163,52.24764975
29-30 June,2022-06-29,NATO Summit,"Madrid, Spain",Politics,99,29,June,2022,key dates,-3.7035825,40.4167047
01 July,2022-07-01,Czech Republic takes on rotating Council Presidency,"Brussels, Belgium",European Union,100,1,July,2022,key dates,4.351697,50.8465573
01-24 July,2022-07-01,Tour de France,"Denmark, France",Culture/society,101,1,July,2022,key dates,12.586976798986157,55.681148449999995
02-06 July,2022-07-02,OSCE Parliamentary Assembly’s 29th Annual Session,"Birmingham, UK",Politics,102,2,July,2022,key dates,-1.9026911,52.4796992
04-07 July,2022-07-04,European Parliament Plenary Session,"Strasbourg, France",European Union,103,4,July,2022,key dates,7.7507127,48.584614
07-17 July,2022-07-07,World Games,"Birmingham, USA",Global,104,7,July,2022,key dates,-86.8024326,33.5206824
07-12 July,2022-07-07,Hajj,"Mecca, Saudi Arabia",Culture/society,105,7,July,2022,key dates,39.826869,21.420847
11 July,2022-07-11,60 years since the First Transatlantic Satellite Television Transmission,worldwide,History,107,11,July,2022,key dates,0,0
30 July,2022-07-30,Islamic New Year,worldwide,Global,108,30,July,2022,key dates,0,0
09 August,2022-08-09,"Presidential, National Assembly and Senate elections",Kenya,Politics,109,9,August,2022,key dates,38.4313975,1.4419683
11-21 August,2022-08-11,European Sports championships,"Munich, Germany",Culture/society,110,11,August,2022,key dates,11.5753822,48.1371079
14 August,2022-08-14,75th anniversary of Pakistan Independence,Pakistan,History,111,14,August,2022,key dates,71.247499,30.3308401
15 August,2022-08-15,75th anniversary of India Independence,India,History,112,15,August,2022,key dates,78.6677428,22.3511148
15 August,2022-08-15,Feast of the Assumption,worldwide,Global,113,15,August,2022,key dates,0,0
25 April - 08 May,2022-08-25,UN biodiversity conference (II part),"Kuming, China",Global,64,25,August,2022,key dates,111.9872019,23.0066929
27 August,2022-08-27,"445 years since the death of The Titian, Italian Painter",Italy,History,114,27,August,2022,key dates,12.674297,42.6384261
02 September,2022-09-02,"85 years since the death of Pierre de Coubertin, founder of the International Olympic Committee",worldwide,History,116,2,September,2022,key dates,0,0
03 September,2022-09-03,Federal elections (House of Representatives),Australia,Politics,117,3,September,2022,key dates,134.755,-24.7761086
06 September,2022-09-06,500 years since the first recorded circumnavigation of the world (1522),worldwide,Global,118,6,September,2022,key dates,0,0
07 September,2022-09-07,Brazil Bicentennial independance,Brazil,History,119,7,September,2022,key dates,-53.2,-10.3333333
10-25 September,2022-09-10,Asian Games,"Hangzhou, China",Culture/society,142,10,September,2022,key dates,120.2052342,30.2489634
11 September,2022-09-11,General elections,Sweden,Politics,121,11,September,2022,key dates,14.5208584,59.6749712
12-15 September,2022-09-12,European Parliament Plenary Session,"Strasbourg, France",European Union,124,12,September,2022,key dates,7.7507127,48.584614
12-18 September,2022-09-12,EuroPride 2022 Belgrade,"Belgrade, Serbia",Culture/society,125,12,September,2022,key dates,20.4568974,44.8178131
13-27 September,2022-09-13,77th UN General Assembly,"New York, USA",Global,122,13,September,2022,key dates,-74.0060152,40.7127281
15-16 September,2022-09-15,Shanghai Cooperation Forum,Uzbekistan,Politics,123,15,September,2022,key dates,63.9528098,41.32373
17-22 September,2022-09-17,ICANN 24th Annual General Meeting,"Kuala Lumpur, Malaysia",Global,128,17,September,2022,key dates,101.6942371,3.1516964
18 September,2022-09-18,International Equal Pay Day,Global,Global,127,18,September,2022,key dates,-79.34914879325001,43.7283874
01 October,2022-10-01,Parliamentary elections,Latvia,Politics,133,1,October,2022,key dates,24.7537645,56.8406494
02 October,2022-10-02,General elections,Brazil,Politics,134,2,October,2022,key dates,-53.2,-10.3333333
02 October,2022-10-02,General elections,Bosnia and Herzegovina,Politics,135,2,October,2022,key dates,17.5961467,44.3053476
02 October,2022-10-02,90 years since Iraq gained independence,Iraq,History,136,2,October,2022,key dates,44.1749775,33.0955793
03-06 October,2022-10-03,European Parliament Plenary Session,"Strasbourg, France",European Union,137,3,October,2022,key dates,7.7507127,48.584614
04-10 October,2022-10-04,Wolrd Space Week,worldwide,Global,138,4,October,2022,key dates,0,0
04-05 October,2022-10-04,Yom Kippur,worldwide,Global,139,4,October,2022,key dates,0,0
07 October,2022-10-07,Vladimir Putin's 70th birthday,Russia,Politics,140,7,October,2022,key dates,97.7453061,64.6863136
17-20 October,2022-10-17,European Parliament Plenary Session,"Strasbourg, France",European Union,141,17,October,2022,key dates,7.7507127,48.584614
27 June -10 July,2022-10-27,Wimbledon Championship,"Wimbledon, UK",Culture/society,98,27,October,2022,key dates,-0.2064027,51.4214787
30-31 October,2022-10-30,G20 Summit,"Bali, Indonesia",Global,143,30,October,2022,key dates,115.0906401,-8.3304977
31 October,2022-10-31,Halloween,worldwide,Global,144,31,October,2022,key dates,0,0
31 October,2022-10-31,"135 years since the birth of Chiang Kai-Shek, leader of the Republic of China and member of the Kuomintang",worldwide,History,145,31,October,2022,key dates,0,0
4 November,2022-11-04,100 years since the archeologist Howard Carter discovers the tomb of Pharaoh Tutankhamun in the Valley of the Kings,Egypt,History,149,4,November,2022,key dates,29.2675469,26.2540493
07-08 November,2022-11-07,Total Lunar Eclispe,worldwide,Global,150,7,November,2022,key dates,0,0
08 November,2022-11-08,US midterm elections,USA,Politics,151,8,November,2022,key dates,-100.445882,39.7837304
08-20 November,2022-11-08,COP27,"Sharm El-Sheikh, Egypt",Global,152,8,November,2022,key dates,34.295447,27.8644422
09-10 November,2022-11-09,European Parliament Plenary Session,"Brussels, Belgium",European Union,153,9,November,2022,key dates,4.351697,50.8465573
11 November,2022-11-11,Armistice Day,worldwide,Global,154,11,November,2022,key dates,0,0
21-24 November,2022-11-21,European Parliament Plenary Session,"Strasbourg, France",European Union,155,21,November,2022,key dates,7.7507127,48.584614
24 November,2022-11-24,Thanksgiving,USA,Culture/society,157,24,November,2022,key dates,-100.445882,39.7837304
5 December,2022-12-05,Christopher Colombus is the first European to set foot in Hispaniola Island (now Haiti and the Dominican Republic) 530 years ago,worldwide,History,159,5,December,2022,key dates,0,0
10 December,2022-12-10,World Human Rights Day,worldwide,Global,160,10,December,2022,key dates,0,0
12-15 December,2022-12-12,European Parliament Plenary Session,"Strasbourg, France",European Union,161,12,December,2022,key dates,7.7507127,48.584614
16-18 December,2022-12-16,Sixth World Telecommunication/ICT Policy Forum,"Geneva, Switzerland",Global,162,16,December,2022,key dates,6.1466014,46.2017559
18-26 December,2022-12-18,Hanukkah,worldwide,Global,163,18,December,2022,key dates,0,0
25 December,2022-12-25,Christmas,worldwide,Global,164,25,December,2022,key dates,0,0
TBC,NA,Legislative elections,Libya,Politics,1,NA,NA,2022,key dates,18.1236723,26.8234472
TBD,NA,35th Ordinary Session of the African Union Assembly and appointment of the new Chairperson,"Addis Ababa, Ethiopia",Politics,16,NA,NA,2022,key dates,38.7612525,9.0107934
TBC,NA,Parliamentary elections,Hungary,Politics,55,NA,NA,2022,key dates,19.5060937,47.1817585
TBC,NA,37th High-Level Meeting of Heads of UN Peace Missions in West Africa,"Bamako, Mali",Politics,65,NA,NA,2022,key dates,-7.984739136241295,12.61326555
TBD,NA,Legislative elections,France,Politics,86,NA,NA,2022,key dates,1.8883335,46.603354
TBD,NA,Parliamentary elections,Malta,Politics,87,NA,NA,2022,key dates,14.4476911,35.8885993
25/06 - 05/07,NA,Mediterranean Games,"Oran, Algeria",Culture/society,97,NA,NA,2022,key dates,-0.6492976,35.7032751
9-10 July,NA,"20th anniversary of the African Union (Durban Summit, 9-10 July 2002)",worldwide,Global,106,NA,NA,2022,key dates,0,0
TBD,NA,Presidential elections,"Vienna, Austria",Politics,115,NA,NA,2022,key dates,16.3725042,48.2083537
9-11 September,NA,Rugby World Cup Sevens,"Cape Town , South Africa",Global,120,NA,NA,2022,key dates,18.417396,-33.928992
16- 19 September,NA,China-ASEAN EXPO,Malaysia,Politics,126,NA,NA,2022,key dates,102.2656823,4.5693754
26 September - 14 October,NA,ITU Plenipotentiary Conference 2022,"Bucharest, Romania",Global,129,NA,NA,2022,key dates,26.1027202,44.4361414
TBD,NA,Presidential elections,Slovenia,Politics,130,NA,NA,2022,key dates,14.626325753340627,46.149034549999996
TBC,NA,20th CCP National Party Congress,"Beijing, China",Politics,131,NA,NA,2022,key dates,116.3912757,39.906217
TBD,NA,Legislative / National Assembly,Sao Tome and Principe,Politics,132,NA,NA,2022,key dates,6.9648718,0.88754980000000006
TBC,NA,Fiji general elections,Fiji,Politics,146,NA,NA,2022,key dates,179.0122737,-18.1239696
TBC,NA,2nd Russia-Africa Summit,"Addis Ababa , Ethiopia",Global,147,NA,NA,2022,key dates,38.7612525,9.0107934
TBC,NA,Paris Peace Forum,"Paris, France",Global,148,NA,NA,2022,key dates,2.3200410217200766,48.8588897
21 November - 18 December,NA,Football World Cup,Qatar,Culture/society,156,NA,NA,2022,key dates,51.2295295,25.3336984
TBC,NA,134th Annual Assembly of the Eastern Partnership Civil society Forum,"Brussels, Belgium",European Union,158,NA,NA,2022,key dates,4.351697,50.8465573
